,loss,train_accuracy,test_accuracy,w1_mean,w1_std,w2_mean,w2_std,MSE,term_I,term_II,term_IV,MSE_star,term_I_star,term_II_star,term_IV_star,MSE_diamond,term_I_diamond,term_II_diamond,term_IV_diamond
0,0.09859759360551834,0.37698333333333334,0.3882,-3.5534871130948886e-05,0.02057109959423542,-0.00031929899705573916,0.033318113535642624,1.022649,0.12206,0.397765,0.497176,0.9179120000000001,0.304339,0.397765,0.784192,0.9796900000000001,0.213492,0.383944,0.617746
1,0.07868510484695435,0.53645,0.5486,-3.6548652133205906e-05,0.02056792937219143,-0.0003116086299996823,0.033164188265800476,0.8530309999999999,0.0506,0.299607,0.497176,0.6990970000000001,0.183682,0.299607,0.784192,0.7991469999999999,0.124168,0.292725,0.617746
2,0.06909147650003433,0.6223333333333333,0.6301,-3.721318716998212e-05,0.020565558224916458,-0.0003064093762077391,0.033048756420612335,0.7763819999999999,0.024261,0.249297,0.497176,0.5914699999999999,0.126365,0.249297,0.784192,0.7110039999999999,0.083666,0.245084,0.617746
3,0.06331955641508102,0.6726166666666666,0.6785,-3.763750282814726e-05,0.020563596859574318,-0.0003030611842405051,0.032952845096588135,0.73475,0.012818,0.219108,0.497176,0.5286819999999999,0.093766,0.219108,0.784192,0.6596920000000001,0.061355,0.216083,0.617746
4,0.05940157547593117,0.7051333333333333,0.7137,-3.790644041146152e-05,0.02056189812719822,-0.00030101288575679064,0.03286948800086975,0.70981,0.007441,0.199545,0.497176,0.48841200000000007,0.073059,0.199545,0.784192,0.626802,0.047477,0.197071,0.617746
5,0.056545428931713104,0.7288666666666667,0.7358,-3.807313260040246e-05,0.020560383796691895,-0.00029987923335283995,0.03279513120651245,0.693988,0.004933,0.186231,0.497176,0.4609810000000001,0.058942,0.186231,0.784192,0.604405,0.038143,0.184008,0.617746
6,0.054362665861845016,0.74585,0.7549,-3.817074320977554e-05,0.02055901288986206,-0.0002993959642481059,0.03272760286927223,0.6835739999999999,0.00392,0.17683,0.497176,0.441476,0.048838,0.17683,0.784192,0.588488,0.031524,0.17471,0.617746
7,0.05263606086373329,0.7588833333333334,0.7661,-3.8220630813157186e-05,0.02055775374174118,-0.0002993785310536623,0.0326654389500618,0.676545,0.003734,0.169987,0.497176,0.42713899999999994,0.041344,0.169987,0.784192,0.576796,0.026645,0.167897,0.617746
8,0.0512331984937191,0.7684166666666666,0.7769,-3.8237143598962575e-05,0.020556582137942314,-0.00029969430761411786,0.032607607543468475,0.6717119999999999,0.004014,0.164874,0.497176,0.4163109999999999,0.035629,0.164874,0.784192,0.5679709999999999,0.02294,0.162777,0.617746
9,0.05006841942667961,0.7766333333333333,0.7863,-3.823042425210588e-05,0.020555486902594566,-0.0003002473386004567,0.03255336359143257,0.6683429999999999,0.004556,0.160963,0.497176,0.4079410000000001,0.03117,0.160963,0.784192,0.561154,0.020058,0.158842,0.617746
