,loss,train_accuracy,test_accuracy,w1_mean,w1_std,w2_mean,w2_std,MSE,term_I,term_II,term_IV,MSE_star,term_I_star,term_II_star,term_IV_star,MSE_diamond,term_I_diamond,term_II_diamond,term_IV_diamond
0,0.09445405751466751,0.44508333333333333,0.4616,2.1764681150671095e-05,0.02063773199915886,-0.0003209779388271272,0.02169855497777462,0.935902,0.097644,0.335434,0.497176,0.82218,0.27294,0.335434,0.786194,0.896116,0.190438,0.324153,0.618475
1,0.07449591159820557,0.5972833333333334,0.6145,2.2017451556166634e-05,0.02063664421439171,-0.0003220076614525169,0.0216172244399786,0.7883389999999999,0.033108,0.252407,0.497176,0.6182680000000002,0.152055,0.252407,0.786194,0.731046,0.102438,0.247083,0.618475
2,0.0651087537407875,0.6666333333333333,0.6841,2.2093247025622986e-05,0.020635807886719704,-0.00032340860343538225,0.021554674953222275,0.729193,0.013249,0.21312,0.497176,0.5272549999999999,0.100329,0.21312,0.786194,0.6577689999999999,0.066435,0.209809,0.618475
3,0.05954655632376671,0.7086333333333333,0.7239,2.2141361114336178e-05,0.02063511125743389,-0.0003249519213568419,0.021502241492271423,0.699497,0.006002,0.190671,0.497176,0.476989,0.072512,0.190671,0.786194,0.6172909999999999,0.047537,0.188229,0.618475
4,0.055853791534900665,0.7349166666666667,0.7517,2.217946166638285e-05,0.020634504035115242,-0.0003264387196395546,0.021456517279148102,0.682898,0.003475,0.176599,0.497176,0.446017,0.055612,0.176599,0.786194,0.592337,0.036232,0.17458,0.618475
5,0.05321882292628288,0.7542166666666666,0.7679,2.2209998860489577e-05,0.020633963868021965,-0.00032777467276901007,0.021415652707219124,0.672987,0.002954,0.167209,0.497176,0.42551300000000014,0.044498,0.167209,0.786194,0.5758120000000001,0.028876,0.165411,0.618475
6,0.05124102905392647,0.7681166666666667,0.7809,2.2234245989238843e-05,0.020633472129702568,-0.00032893018214963377,0.02137851156294346,0.666811,0.003338,0.160649,0.497176,0.41121600000000014,0.036761,0.160649,0.786194,0.5642889999999999,0.023794,0.15897,0.618475
7,0.04969974607229233,0.7784,0.7903,2.2253610950428993e-05,0.020633021369576454,-0.0003299069358035922,0.021344341337680817,0.6628619999999998,0.004133,0.155905,0.497176,0.400845,0.031134,0.155905,0.786194,0.5559330000000001,0.020119,0.154289,0.618475
8,0.048463355749845505,0.7865666666666666,0.7979,2.226934338978026e-05,0.020632600411772728,-0.00033072015503421426,0.02131260745227337,0.6603079999999999,0.005104,0.15238,0.497176,0.39308299999999996,0.026897,0.15238,0.786194,0.5496819999999999,0.017363,0.150794,0.618475
9,0.0474482998251915,0.7934833333333333,0.8033,2.2282432837528177e-05,0.020632214844226837,-0.0003313901834189892,0.021282920613884926,0.6586619999999999,0.006133,0.149705,0.497176,0.38712599999999997,0.023615,0.149705,0.786194,0.5448860000000001,0.015235,0.148126,0.618475
10,0.046598926186561584,0.7993666666666667,0.8085,2.2293650545179844e-05,0.02063184604048729,-0.0003319371026009321,0.02125498093664646,0.6576229999999998,0.007162,0.147637,0.497176,0.38245399999999996,0.021011,0.147637,0.786194,0.5411279999999999,0.01355,0.146053,0.618475
11,0.04587670415639877,0.8034166666666667,0.8138,2.2303458536043763e-05,0.020631497725844383,-0.0003323796554468572,0.02122855745255947,0.656998,0.00816,0.146014,0.497176,0.37872300000000003,0.018903,0.146014,0.786194,0.538129,0.012188,0.144416,0.618475
12,0.04525410011410713,0.8078,0.8181,2.231228063465096e-05,0.02063116803765297,-0.00033273425651714206,0.02120346762239933,0.6566619999999999,0.009114,0.144724,0.497176,0.37569700000000006,0.017167,0.144724,0.786194,0.5356980000000001,0.011067,0.143106,0.618475
13,0.04471096396446228,0.81085,0.8212,2.232029328297358e-05,0.02063085325062275,-0.00033301475923508406,0.02117956057190895,0.6565289999999999,0.010019,0.143686,0.497176,0.37320699999999996,0.015715,0.143686,0.786194,0.5337,0.010131,0.142044,0.618475
14,0.044232189655303955,0.81355,0.8242,2.2327672922983766e-05,0.02063055709004402,-0.00033323312527500093,0.021156711503863335,0.656539,0.010872,0.142843,0.497176,0.37113399999999996,0.014485,0.142843,0.786194,0.5320380000000001,0.009338,0.141175,0.618475
15,0.04380626976490021,0.8157166666666666,0.8263,2.2334525056066923e-05,0.02063027024269104,-0.0003333988133817911,0.021134819835424423,0.6566539999999998,0.011677,0.142153,0.497176,0.3693890000000001,0.01343,0.142153,0.786194,0.5306400000000001,0.008659,0.140456,0.618475
16,0.04342431202530861,0.8176833333333333,0.828,2.2340980649460107e-05,0.020629996433854103,-0.00033352014725096524,0.021113796159625053,0.656841,0.012434,0.141583,0.497176,0.36790599999999996,0.012517,0.141583,0.786194,0.529454,0.008071,0.139858,0.618475
17,0.04307928308844566,0.8196666666666667,0.8306,2.2347088815877214e-05,0.020629731938242912,-0.0003336038498673588,0.021093567833304405,0.657081,0.013147,0.14111,0.497176,0.36663500000000016,0.011719,0.14111,0.786194,0.5284380000000001,0.007557,0.139356,0.618475
18,0.04276563227176666,0.8210833333333334,0.8327,2.235285865026526e-05,0.020629476755857468,-0.0003336555673740804,0.021074069663882256,0.657359,0.013819,0.140716,0.497176,0.36553800000000003,0.011016,0.140716,0.786194,0.5275629999999999,0.007105,0.138933,0.618475
19,0.04247886687517166,0.8231166666666667,0.835,2.2358322894433513e-05,0.02062923088669777,-0.0003336798108648509,0.021055247634649277,0.6576629999999999,0.014453,0.140386,0.497176,0.36458400000000013,0.010392,0.140386,0.786194,0.5268039999999999,0.006704,0.138575,0.618475
20,0.04221532866358757,0.8244333333333334,0.8366,2.2363534299074672e-05,0.020628996193408966,-0.0003336804511491209,0.02103704959154129,0.657986,0.015053,0.140109,0.497176,0.36375100000000005,0.009836,0.140109,0.786194,0.5261399999999999,0.006345,0.13827,0.618475
21,0.041972022503614426,0.8258166666666666,0.8371,2.2368418285623193e-05,0.02062876522541046,-0.00033366080606356263,0.021019434556365013,0.65832,0.01562,0.139876,0.497176,0.36301700000000003,0.009335,0.139876,0.786194,0.5255580000000001,0.006023,0.13801,0.618475
22,0.041746437549591064,0.8269833333333333,0.8384,2.2373118554241955e-05,0.020628547295928,-0.0003336236404720694,0.02100236527621746,0.6586619999999999,0.016158,0.13968,0.497176,0.36236900000000005,0.008883,0.13968,0.786194,0.525046,0.005732,0.137789,0.618475
23,0.04153650626540184,0.8278,0.8391,2.2377582354238257e-05,0.02062832936644554,-0.00033357104985043406,0.020985804498195648,0.659009,0.016668,0.139517,0.497176,0.3617960000000001,0.008473,0.139517,0.786194,0.524593,0.005468,0.1376,0.618475
24,0.041340455412864685,0.8289,0.8397,2.2381829694495536e-05,0.020628120750188828,-0.00033350501325912774,0.020969722419977188,0.659357,0.017153,0.13938,0.497176,0.36128499999999997,0.008099,0.13938,0.786194,0.52419,0.005227,0.137438,0.618475
25,0.04115680232644081,0.8301166666666666,0.8402,2.238592969661113e-05,0.02062791958451271,-0.0003334273351356387,0.02095409296452999,0.6597059999999999,0.017616,0.139266,0.497176,0.36082899999999996,0.007757,0.139266,0.786194,0.5238330000000001,0.005007,0.137301,0.618475
26,0.04098425433039665,0.83105,0.8414,2.2389833247871138e-05,0.020627722144126892,-0.0003333392960485071,0.02093888632953167,0.6600519999999999,0.018056,0.139172,0.497176,0.3604200000000001,0.007442,0.139172,0.786194,0.5235139999999999,0.004804,0.137185,0.618475
