0,1,2,3,4,5,6,7,8,9
-0.35871282,0.22995648,0.066482194,0.1905591,0.6884231,0.24037242,0.29776827,-0.28448525,0.09631291,-0.25910085
-0.331063,0.19480334,0.5888815,0.074588455,-0.51619357,-0.13503982,0.2556941,-0.38048735,0.03335914,0.0644173
-0.37915888,0.07869319,-0.33465585,-0.2284699,-0.23649387,0.30629924,0.07100872,-0.022272766,-0.71031433,-0.16130586
-0.37292108,0.15972492,0.39268103,0.14996119,0.19431776,-0.26184195,-0.41426125,0.5654311,-0.24306417,-0.04478367
-0.4497562,0.0954073,-0.29847386,-0.21731308,-0.27370298,0.036657922,-0.077191055,0.23974729,0.6300803,-0.3400142
-0.07066942,-0.41706353,0.28530613,-0.2197828,0.052783273,0.32654667,-0.6254327,-0.38994092,0.044274133,-0.19173096
-0.34876642,0.087233335,-0.13807869,-0.13025524,0.11737123,0.1882787,-0.14626394,-0.05764806,0.13644339,0.8614883
-0.1356646,-0.56412935,0.28705183,-0.4637957,0.1527752,0.010473548,0.49145198,0.3121046,0.0035084947,0.058748804
-0.2708051,-0.265867,-0.30345264,-0.0730422,0.14804834,-0.7674416,-0.065329276,-0.36748764,-0.08997759,-0.016270505
-0.24132487,-0.545789,-0.13627763,0.74195653,-0.17086576,0.17059676,0.070634946,0.09368401,0.01725999,0.049430385
